"","coef_T","pval_T","se_T","FDR.coef_T","coef_C","pval_C","se_C","FDR.coef_C"
"27403",0.463684630539848,0.257827566912416,0.394207466024079,0.444016652641229,0.129913061943467,0.814300262087391,0.486078239731751,0.917849900812608
"27404",-0.399433980981001,0.338492113773015,0.403999904344593,0.522844427512804,0.31354975006643,0.331480748464327,0.246644996218707,0.652425434019029
"27407",-0.366342489935929,0.160824615453309,0.248325014927063,0.333897356809986,-1.14876024422842,0.0158038907197915,0.14615277356629,0.538427619969019
"27410",-0.247569264761917,0.262252286209202,0.212524411300311,0.447656605808226,0.335668905670324,0.277046520252587,0.226829161869582,0.627189068650176
"27412",-0.507347119264196,0.29418053045712,0.466725201249094,0.480717584438829,-1.12986091895986,0.0919732637212397,0.368582218612608,0.538427619969019
"27414",-0.24991309606384,0.238846424118598,0.203729591404301,0.423399281797539,-0.547008120890969,0.269422897972556,0.361514272600165,0.625237458457543
"27418",0.225564042070427,0.082121957886606,0.121058181786025,0.220479924609447,0.286356565745722,0.707227625840467,0.661306349843767,0.860569233921973
"27419",0.116409461215766,0.685589971062174,0.281996561298718,0.795300604801938,0.878461828537457,0.1551392535647,0.393337550199811,0.564351880829074
"27428",0.776020863936333,0.0125364913710613,0.273710793934667,0.0642055418781425,-0.168951734906103,0.767257214442021,0.499204113418005,0.892080452438266
"27494",-0.639928629183176,0.52717998418544,0.98851321599162,0.676724006118984,-0.164099069501959,0.859279065872337,0.816374127853237,0.940067220621649
"27528",1.45412437620277,0.0638394528695488,0.726738041019157,0.186739134517748,3.925974923621,0.0564690350348409,0.974714173703558,0.538427619969019
"27632",0.272127927381771,0.0133186615820044,0.0970076529304698,0.0668375510819902,-0.437747677161039,0.265092731841784,0.285636270172618,0.622486380392202
"27660",-0.316365188559987,0.0837530615266082,0.170789134616178,0.222622480594261,0.273299650737955,0.218968003306399,0.154518841281302,0.597251369757541
"276846",-0.332087507144172,0.177233347259391,0.234541414779308,0.353309849705179,0.291480024688499,0.543642201209935,0.401863856047584,0.77270492643884
"276905",-0.177957138136626,0.338806047203303,0.180112092648829,0.52303353608888,0.176537512242896,0.431182537719661,0.180495289964562,0.704954127607481
"277010",-0.56311960957742,0.0536350796029996,0.268892223752629,0.167288238069798,0.657157061587249,0.281481477961813,0.449798738721361,0.628834993781476
"277154",0.927298642481098,0.0358992149479927,0.39954706978826,0.128340122240017,0.913699779278193,0.304053764922797,0.666644138936296,0.636423406640388
"277250",0.690509542504262,0.000123862418686336,0.13163889569251,0.00309293418731632,-0.0352935300683141,0.859445361102655,0.175793211725206,0.940067220621649
"277353",-0.344082015967261,0.50029142488182,0.498149943739964,0.657133243340842,0.168679867260503,0.888110930946511,1.05931453272305,0.952632557035443
"27756",0.141842825417493,0.432827019257306,0.175980256374064,0.601662098617042,-0.70314576951289,0.400698252657896,0.66413865232931,0.689606571058827
"277939",0.0846608849413615,0.663013190160306,0.190182914816845,0.779785632721548,0.313035604013734,0.585973816819239,0.486652279922723,0.796627929974941
"27801",-0.772327590745446,7.90608407308052e-09,0.0672794322668026,7.05926433299736e-06,-0.423347025301426,0.0762999106750047,0.124159863478751,0.538427619969019
"27878",-0.749751181552558,0.0327304715903278,0.318728951875166,0.121324651014203,0.036545887982115,0.861402540114898,0.184653026116798,0.941112830686912
"27883",-0.615901043202508,0.0594947186315111,0.302085696777657,0.17867518850503,0.0802820674976466,0.816509580735966,0.304125736201396,0.918194732789687
"27965",-0.26761656859651,0.269380711992591,0.233335029076792,0.455357771938226,-0.256392884076637,0.591712247862277,0.405345726076313,0.798387962472369
"27966",-0.532015472747789,0.255081021406066,0.449578992503415,0.440846227663907,-2.34841030928844,0.0183900904176957,0.322939420260615,0.538427619969019
"27967",-0.261234858355118,0.0529002898934196,0.12430553638007,0.165784791736972,-0.684009897694598,0.191608902754578,0.352192325617413,0.584090170481597
"27973",0.13082240273169,0.702041968204485,0.335469913731551,0.806607144274865,2.30700177140052,0.0383964499393259,0.465573258744838,0.538427619969019
"27979",-0.300276019789748,0.247550779480627,0.249567168185885,0.432881212307499,-1.69112317739747,0.00785743145938337,0.150794905231856,0.538427619969019
"27981",0.036973946001067,0.928460020265536,0.404958956935406,0.956124704326572,1.27000566436342,0.0516865740479886,0.300508697340391,0.538427619969019
"27984",-0.807030071049219,0.00154425267325167,0.209112000557894,0.016138087468723,-0.688651976716588,0.0581139540878368,0.173675485345803,0.538427619969019
"27993",-0.612506852451827,0.0620863411507599,0.303836758625365,0.183439702926184,-1.3389240692339,0.0482101455463537,0.305130505954156,0.538427619969019
"27998",0.326363970303233,0.225186972852508,0.258004439594088,0.409368689108088,-0.982800309224293,0.0777478091951735,0.291306284116059,0.538427619969019
"27999",-0.41280397772358,0.0566999286510457,0.199944488333012,0.173272295744925,0.338842272449072,0.294462438144079,0.240662289523803,0.632984285520252
"28000",-0.10500666382547,0.56210601960425,0.177118241775735,0.704928901649007,-0.653462468232347,0.329323455994849,0.511034303069819,0.651224855555237
"28006",-0.346701186072025,0.0358212463693037,0.150361320671005,0.128153227806988,0.0901803479881392,0.816132818330262,0.340898116384927,0.918194732789687
"28010",0.487676028234025,0.00353717485383595,0.141160909568986,0.0281712728513332,-0.581277537384239,0.499954005263022,0.711829371004606,0.744100314336073
"28015",0.095032669608111,0.582464315386199,0.168853351196396,0.720661379699025,-0.400568081242056,0.170696660730134,0.190854895567409,0.574940635513632
"28019",0.426890546762225,0.00387563359797149,0.125179698089194,0.0298128430895858,0.971460304740317,0.273716921135496,0.650146105694369,0.626912684812672
"28028",-0.328179997180224,0.0483435409744785,0.152695144077997,0.156322621150188,-0.336375558987224,0.575679162610013,0.507585543063097,0.790248081534351
